status,recovered_abs_path,top_candidate,top_score,second_candidate,second_score,reason
new_file,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/macOS/iDAW.entitlements.xml,,0.0000,,0.0000,no_candidate
candidate_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/models/emotionrecognizer.json,models/emotionrecognizer.json,0.9500,models/instrumentrecognizer.json,0.8670,high_confidence_heuristic
candidate_match,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/models/registry.json,models/registry.json,0.9974,models/registry.schema.json,0.9175,high_confidence_heuristic
conflict,/System/Volumes/Data/Users/seanburdges/RECOVERY_STAGED_2026-02-18/zip_extract/My Mac/Desktop/KmiDi-remote/scripts/stash_personal_code.py,scripts/server_penta-core.py,0.8647,scripts/demo_penta-core.py,0.8488,ambiguous_or_medium_confidence_heuristic
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/audio/kelly-audio-data/README.md,ML Kelly Training/backup/configs/README.md,0.6768,docs/penta_core/README.md,0.6642,no_valid_candidate_above_threshold
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/INCORPORATE_RECOVERED_DATA.md,datasets/README.md,0.6618,,0.0000,no_valid_candidate_above_threshold
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/.cursor/plans/build_plan.md,,0.0000,,0.0000,no_candidate
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/.cursor/worktree_preservation_summary.md,,0.0000,,0.0000,no_candidate
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/.tools/apache-maven-3.9.9/README.txt,external/JUCE/extras/NetworkGraphicsDemo/README.txt,0.6567,external/JUCE/examples/Assets/Signing/README.txt,0.6239,no_valid_candidate_above_threshold
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/.tools/zulu17.46.19-ca-jdk17.0.9-linux_musl_x64/readme.txt,external/JUCE/examples/Assets/Signing/README.txt,0.6086,external/JUCE/modules/juce_box2d/box2d/README.txt,0.6028,no_valid_candidate_above_threshold
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/CMakeLists.txt,cpp_music_brain/tests/CMakeLists.txt,0.6545,build_fileio/CMakeLists.txt,0.6515,no_valid_candidate_above_threshold
new_file,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/CONTRIBUTING.md,docs/CONTRIBUTING.md,0.6101,,0.0000,no_valid_candidate_above_threshold
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/BREAKING_CHANGES.md,external/JUCE/BREAKING_CHANGES.md,0.7569,external/JUCE/CHANGE_LIST.md,0.6133,ambiguous_or_medium_confidence_heuristic
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/CHANGE_LIST.md,external/JUCE/CHANGE_LIST.md,0.7648,external/JUCE/BREAKING_CHANGES.md,0.6193,ambiguous_or_medium_confidence_heuristic
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/CMakeLists.txt,external/JUCE/CMakeLists.txt,0.7668,external/JUCE/extras/Projucer/CMakeLists.txt,0.7180,ambiguous_or_medium_confidence_heuristic
conflict,/Volumes/KmiDi-external/COLD_STORAGEEXTERNAL/kmidi_datasets/KmiDi/KmiDi/external/JUCE/CODE_OF_CONDUCT.md,external/JUCE/CODE_OF_CONDUCT.md,0.7707,,0.0000,ambiguous_or_medium_confidence_heuristic
